model.embed_tokens.weight	shape=(151936, 1024)
model.layers.0.linear_attn.dt_bias	shape=(2048,)
model.layers.0.linear_attn.A_log	shape=(1, 1, 16, 1)
model.layers.0.linear_attn.q_proj.weight	shape=(2048, 1024)
model.layers.0.linear_attn.k_proj.weight	shape=(2048, 1024)
model.layers.0.linear_attn.v_proj.weight	shape=(2048, 1024)
model.layers.0.linear_attn.f_a_proj.weight	shape=(128, 1024)
model.layers.0.linear_attn.f_b_proj.weight	shape=(2048, 128)
model.layers.0.linear_attn.b_proj.weight	shape=(16, 1024)
model.layers.0.linear_attn.q_conv1d.weight	shape=(2048, 1, 4)
model.layers.0.linear_attn.k_conv1d.weight	shape=(2048, 1, 4)
model.layers.0.linear_attn.v_conv1d.weight	shape=(2048, 1, 4)
model.layers.0.linear_attn.g_a_proj.weight	shape=(128, 1024)
model.layers.0.linear_attn.g_b_proj.weight	shape=(2048, 128)
model.layers.0.linear_attn.o_norm.weight	shape=(128,)
model.layers.0.linear_attn.o_proj.weight	shape=(1024, 2048)
model.layers.0.mlp.experts.w13_weight	shape=(32, 1024, 1024)
model.layers.0.mlp.experts.w2_weight	shape=(32, 1024, 512)
model.layers.0.mlp.gate.weight	shape=(32, 1024)
model.layers.0.mlp.shared_expert.gate_up_proj.weight	shape=(1024, 1024)
model.layers.0.mlp.shared_expert.down_proj.weight	shape=(1024, 512)
model.layers.0.mlp.shared_expert_gate.weight	shape=(1, 1024)
model.layers.0.input_layernorm.weight	shape=(1024,)
model.layers.0.post_attention_layernorm.weight	shape=(1024,)
model.layers.1.linear_attn.dt_bias	shape=(2048,)
model.layers.1.linear_attn.A_log	shape=(1, 1, 16, 1)
model.layers.1.linear_attn.q_proj.weight	shape=(2048, 1024)
model.layers.1.linear_attn.k_proj.weight	shape=(2048, 1024)
model.layers.1.linear_attn.v_proj.weight	shape=(2048, 1024)
model.layers.1.linear_attn.f_a_proj.weight	shape=(128, 1024)
model.layers.1.linear_attn.f_b_proj.weight	shape=(2048, 128)
model.layers.1.linear_attn.b_proj.weight	shape=(16, 1024)
model.layers.1.linear_attn.q_conv1d.weight	shape=(2048, 1, 4)
model.layers.1.linear_attn.k_conv1d.weight	shape=(2048, 1, 4)
model.layers.1.linear_attn.v_conv1d.weight	shape=(2048, 1, 4)
model.layers.1.linear_attn.g_a_proj.weight	shape=(128, 1024)
model.layers.1.linear_attn.g_b_proj.weight	shape=(2048, 128)
model.layers.1.linear_attn.o_norm.weight	shape=(128,)
model.layers.1.linear_attn.o_proj.weight	shape=(1024, 2048)
model.layers.1.mlp.experts.w13_weight	shape=(32, 1024, 1024)
model.layers.1.mlp.experts.w2_weight	shape=(32, 1024, 512)
model.layers.1.mlp.gate.weight	shape=(32, 1024)
model.layers.1.mlp.shared_expert.gate_up_proj.weight	shape=(1024, 1024)
model.layers.1.mlp.shared_expert.down_proj.weight	shape=(1024, 512)
model.layers.1.mlp.shared_expert_gate.weight	shape=(1, 1024)
model.layers.1.input_layernorm.weight	shape=(1024,)
model.layers.1.post_attention_layernorm.weight	shape=(1024,)
model.layers.2.linear_attn.dt_bias	shape=(2048,)
model.layers.2.linear_attn.A_log	shape=(1, 1, 16, 1)
model.layers.2.linear_attn.q_proj.weight	shape=(2048, 1024)
model.layers.2.linear_attn.k_proj.weight	shape=(2048, 1024)
model.layers.2.linear_attn.v_proj.weight	shape=(2048, 1024)
model.layers.2.linear_attn.f_a_proj.weight	shape=(128, 1024)
model.layers.2.linear_attn.f_b_proj.weight	shape=(2048, 128)
model.layers.2.linear_attn.b_proj.weight	shape=(16, 1024)
model.layers.2.linear_attn.q_conv1d.weight	shape=(2048, 1, 4)
model.layers.2.linear_attn.k_conv1d.weight	shape=(2048, 1, 4)
model.layers.2.linear_attn.v_conv1d.weight	shape=(2048, 1, 4)
model.layers.2.linear_attn.g_a_proj.weight	shape=(128, 1024)
model.layers.2.linear_attn.g_b_proj.weight	shape=(2048, 128)
model.layers.2.linear_attn.o_norm.weight	shape=(128,)
model.layers.2.linear_attn.o_proj.weight	shape=(1024, 2048)
model.layers.2.mlp.experts.w13_weight	shape=(32, 1024, 1024)
model.layers.2.mlp.experts.w2_weight	shape=(32, 1024, 512)
model.layers.2.mlp.gate.weight	shape=(32, 1024)
model.layers.2.mlp.shared_expert.gate_up_proj.weight	shape=(1024, 1024)
model.layers.2.mlp.shared_expert.down_proj.weight	shape=(1024, 512)
model.layers.2.mlp.shared_expert_gate.weight	shape=(1, 1024)
model.layers.2.input_layernorm.weight	shape=(1024,)
model.layers.2.post_attention_layernorm.weight	shape=(1024,)
model.layers.3.qkv_proj.weight	shape=(9216, 1024)
model.layers.3.o_proj.weight	shape=(1024, 4096)
model.layers.3.mlp.experts.w13_weight	shape=(32, 1024, 1024)
model.layers.3.mlp.experts.w2_weight	shape=(32, 1024, 512)
model.layers.3.mlp.gate.weight	shape=(32, 1024)
model.layers.3.mlp.shared_expert.gate_up_proj.weight	shape=(1024, 1024)
model.layers.3.mlp.shared_expert.down_proj.weight	shape=(1024, 512)
model.layers.3.mlp.shared_expert_gate.weight	shape=(1, 1024)
model.layers.3.input_layernorm.weight	shape=(1024,)
model.layers.3.post_attention_layernorm.weight	shape=(1024,)
model.layers.3.q_norm.weight	shape=(256,)
model.layers.3.k_norm.weight	shape=(256,)
model.layers.4.linear_attn.dt_bias	shape=(2048,)
model.layers.4.linear_attn.A_log	shape=(1, 1, 16, 1)
model.layers.4.linear_attn.q_proj.weight	shape=(2048, 1024)
model.layers.4.linear_attn.k_proj.weight	shape=(2048, 1024)
model.layers.4.linear_attn.v_proj.weight	shape=(2048, 1024)
model.layers.4.linear_attn.f_a_proj.weight	shape=(128, 1024)
model.layers.4.linear_attn.f_b_proj.weight	shape=(2048, 128)
model.layers.4.linear_attn.b_proj.weight	shape=(16, 1024)
model.layers.4.linear_attn.q_conv1d.weight	shape=(2048, 1, 4)
model.layers.4.linear_attn.k_conv1d.weight	shape=(2048, 1, 4)
model.layers.4.linear_attn.v_conv1d.weight	shape=(2048, 1, 4)
model.layers.4.linear_attn.g_a_proj.weight	shape=(128, 1024)
model.layers.4.linear_attn.g_b_proj.weight	shape=(2048, 128)
model.layers.4.linear_attn.o_norm.weight	shape=(128,)
model.layers.4.linear_attn.o_proj.weight	shape=(1024, 2048)
model.layers.4.mlp.experts.w13_weight	shape=(32, 1024, 1024)
model.layers.4.mlp.experts.w2_weight	shape=(32, 1024, 512)
model.layers.4.mlp.gate.weight	shape=(32, 1024)
model.layers.4.mlp.shared_expert.gate_up_proj.weight	shape=(1024, 1024)
model.layers.4.mlp.shared_expert.down_proj.weight	shape=(1024, 512)
